Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
1,0.0,1.0,38.0,1.0,38.0,38.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,61.06128277168845,32.359772321966595,112.81940200577247,3.5768057833757334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,91.0,2.0,53.0,91.0,0.0,,,0.0,0.15859580039978027,,,,,,,,,,,,,,,,78.35224370191447,40.96317715268078,143.31108283971614,3.3234771779059233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,1.0,145.0,3.0,54.0,145.0,0.0,,,0.0,0.27376747131347656,,,,,,,,,,,,,,,,89.85254484953475,45.48010545538202,158.6049402087621,4.102620302601101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,1.0,203.0,4.0,58.0,203.0,0.0,,,0.0,0.40274739265441895,,,,,,,,,,,,,,,,74.56667489489635,40.38578847136684,141.9211419506369,3.1153616472443115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,1.0,246.0,5.0,43.0,246.0,0.0,,,0.0,0.5038423538208008,,,,,,,,,,,,,,,,67.62592036311621,36.0067103364367,124.97289054398537,3.1438945293349976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,1.0,280.0,6.0,34.0,280.0,0.0,,,0.0,0.5930900573730469,,,,,,,,,,,,,,,,57.52066721742216,30.071949361010198,105.67278774699108,3.5110680151976297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,1.0,315.0,7.0,35.0,315.0,0.0,,,0.0,0.78983473777771,,,,,,,,,,,,,,,,55.99119755308453,30.135742172781445,104.8239430042993,3.3181952565533805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,1.0,355.0,8.0,40.0,355.0,0.0,,,0.0,0.8880279064178467,,,,,,,,,,,,,,,,69.16265308007299,34.16831776765897,122.21385841205375,3.849073948620646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,1.0,396.0,9.0,41.0,396.0,0.0,,,0.0,0.9908022880554199,,,,,,,,,,,,,,,,62.10920734240418,32.755204157630224,115.76451602362825,3.2922404977687174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,1.0,443.0,10.0,47.0,443.0,0.0,,,0.0,1.1229538917541504,,,,,,,,,,,,,,,,61.57442087676043,34.290649831237154,119.96366945998585,2.7272485234468955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
